Line Item,2022,2021,2020,2017,Category,Confidence
using the first-in,0.0,2022.0,10.0,35.0,Other,0.4
underlying securities. Property,0.0,0.0,0.0,40.0,Other,0.4
machinery and equipment,0.0,0.0,0.0,8.7,Other,0.4
was $8.7 billion,0.0,9.5,9.7,2022.0,Other,0.4
"billion during 2022,",2021.0,2020.0,0.0,0.0,Other,0.4
earnings,2017.0,0.0,0.0,2022.0,Net Income,0.7
| 2022 Form,10.0,36.0,0.0,0.0,Other,0.4
and similar services,0.0,1.0,0.0,0.0,Other,0.4
research and development,0.0,0.0,0.0,2.0,Operating Expenses,0.7
revenue,2022.0,2021.0,2020.0,0.0,Revenue,0.7
