Line Item,2026,2023,2022,2021,Category,Confidence
as of September,24.0,2022.0,25.0,2021.0,Other,0.4
"25, 2021 was",10.1,10.8,0.0,24.0,Other,0.4
"of September 24,",2022.0,25.0,2021.0,2.3,Other,0.4
2.3 % and,2.0,0.0,24.0,2022.0,Other,0.4
the Company had,1.2,0.0,0.0,2023.0,Other,0.4
between 2023 and,2026.0,1.0,21.0,2022.0,Other,0.4
| 2022 Form,10.0,44.0,7.0,0.0,Other,0.4
As of September,24.0,2022.0,25.0,2021.0,Other,0.4
the Company had,10.0,6.0,0.0,0.0,Other,0.4
Commercial Paper was,2.31,0.06,24.0,2022.0,Other,0.4
2022 and September,25.0,2021.0,2022.0,2021.0,Other,0.4
"2022, 2021 and",2020.0,0.0,0.0,0.0,Other,0.4
