Line Item,2026,2023,2022,2021,Category,Confidence
beginning with the quarter ending June,30.0,2023.0,0.0,0.0,Other,0.4
million as of December,31.0,2021.0,0.0,0.0,Other,0.4
million in transaction costs during the year ended December,31.0,2020.0,0.0,0.0,Cost,0.4
during the year ended December,31.0,2021.0,0.0,0.0,Other,0.4
s theatre screens and attendees through February,2037.0,0.0,0.0,0.0,Other,0.4
million for the years ended December,31.0,2021.0,0.0,0.0,Other,0.4
during the years ended December,31.0,2021.0,0.0,0.0,Other,0.4
during the years ended December,31.0,2021.0,0.0,0.0,Other,0.4
and December,31.0,2019.0,0.0,0.0,Other,0.4
Qualitative impairment tests performed during,2021.0,0.0,0.0,0.0,Other,0.4
December,31.0,2021.0,0.0,0.0,Other,0.4
quantitative goodwill impairment tests performed during,2020.0,0.0,0.0,0.0,Other,0.4
quantitative goodwill impairment test of the Domestic and International reporting units as of March,31.0,2020.0,0.0,0.0,Other,0.4
quantitative impairment test of the Domestic and International reporting units as of September,30.0,2020.0,0.0,0.0,Other,0.4
quantitative impairment test of the Domestic and International reporting units as of December,31.0,2020.0,0.0,0.0,Other,0.4
