Line Item,2020,2019,2013,Category,Confidence
(,1.0,0.0,2020.0,Other,0.4
earnings,10.0,58.0,26.0,Net Income,0.7
"of September 26,",2020.0,28.0,2019.0,Other,0.4
statements of operations,0.0,0.0,26.0,Other,0.4
"ended September 26,",2020.0,0.0,0.0,Other,0.4
all material respects,0.0,26.0,2020.0,Other,0.4
2020 and September,28.0,2019.0,26.0,Other,0.4
"ended September 26,",2020.0,0.0,0.0,Other,0.4
as of September,26.0,2020.0,2013.0,Other,0.4
report dated October,29.0,2020.0,0.0,Other,0.4
a test basis,0.0,0.0,1.0,Other,0.4
statements and (,2.0,0.0,0.0,Other,0.4
