Line Item,2026,2024,2023,2022,Category,Confidence
as of September,30.0,2023.0,24.0,2022.0,Other,0.4
"24, 2022 was",10.6,10.1,0.0,30.0,Other,0.4
"of September 30,",2023.0,24.0,2022.0,3.0,Other,0.4
3.0 % and,2.3,0.0,0.0,30.0,Other,0.4
"of September 30,",2023.0,544.0,0.0,0.0,Other,0.4
will commence between,2024.0,2026.0,1.0,21.0,Other,0.4
21 years. Note,9.0,0.0,30.0,2023.0,Other,0.4
2023 and September,24.0,2022.0,6.0,10.0,Other,0.4
commercial paper outstanding,0.0,0.0,5.28,2.31,Other,0.4
as of September,30.0,2023.0,24.0,2022.0,Other,0.4
commercial paper for,2023.0,2022.0,2021.0,0.0,Other,0.4
