Line Item,2020,2019,2018,Category,Confidence
of RSUs was,10.8,0.0,8.6,Other,0.4
$8.6 billion and,7.6,2020.0,2019.0,Other,0.4
"2020, 2019 and",2018.0,2020.0,2019.0,Other,0.4
"2020, 2019 and",2018.0,0.0,56.0,Other,0.4
approximately 56 million,0.0,59.0,64.0,Other,0.4
64 million for,2020.0,2019.0,2018.0,Other,0.4
"and 2018, respectively",0.0,3.9,0.0,Other,0.4
"were $3.9 billion,",3.0,2.7,2020.0,Other,0.4
"billion in 2020,",2019.0,2018.0,2020.0,Other,0.4
| 2020 Form,10.0,52.0,2020.0,Other,0.4
"Operations for 2020,",2019.0,2018.0,0.0,Other,0.4
