Line Item,2020,2019,2018,Category,Confidence
dilutive securities representing,62.0,2019.0,0.0,Other,0.4
of the assets,0.0,40.0,0.0,Other,0.4
of the assets,0.0,9.7,0.0,Other,0.4
"was $9.7 billion,",11.3,9.3,2020.0,Other,0.4
"billion during 2020,",2019.0,2018.0,0.0,Other,0.4
liabilities of $(,2.9,3.4,2019.0,Other,0.4
during 2019 and,2018.0,2020.0,10.0,Other,0.4
Form 10-K |,37.0,0.0,0.0,Other,0.4
high credit ratings,0.0,2.0,0.0,Other,0.4
revenue,0.0,2020.0,10.0,Revenue,0.7
Form 10-K |,38.0,0.0,0.0,Other,0.4
the customer. Therefore,0.0,0.0,26.0,Other,0.4
revenue,2020.0,28.0,2019.0,Revenue,0.7
revenue,10.2,8.1,0.0,Revenue,0.7
revenue,26.0,2020.0,65.0,Revenue,0.7
revenue,0.0,25.0,0.0,Revenue,0.7
revenue,8.0,2.0,2020.0,Revenue,0.7
revenue,2019.0,2018.0,0.0,Revenue,0.7
