Line Item,2023,2022,2021,Category,Confidence
of RSUs was,15.9,0.0,18.2,Other,0.4
$18.2 billion and,19.0,2023.0,2022.0,Other,0.4
"2023, 2022 and",2021.0,2023.0,2022.0,Other,0.4
"2023, 2022 and",2021.0,0.0,37.0,Other,0.4
approximately 37 million,0.0,41.0,53.0,Other,0.4
53 million for,2023.0,2022.0,2021.0,Other,0.4
"and 2021, respectively",0.0,5.6,0.0,Other,0.4
"were $5.6 billion,",6.4,6.8,2023.0,Other,0.4
"billion in 2023,",2022.0,2021.0,2023.0,Other,0.4
| 2023 Form,10.0,45.0,2023.0,Other,0.4
"Operations for 2023,",2022.0,2021.0,0.0,Other,0.4
