Line Item,2021,2020,2019,2018,Category,Confidence
No interest expense or penalties related to federal uncertain tax positions have been recognized for the years ended December,31.0,2020.0,0.0,0.0,Cost,0.4
and December,31.0,2018.0,0.0,0.0,Other,0.4
ownership change limitation due to changes in our stock ownership on January,29.0,2021.0,0.0,0.0,Other,0.4
The motion was fully briefed on September,21.0,2020.0,0.0,0.0,Other,0.4
which the court granted on October,15.0,2018.0,0.0,0.0,Other,0.4
which the court granted on December,17.0,2018.0,0.0,0.0,Other,0.4
which the court granted on October,17.0,2019.0,0.0,0.0,Other,0.4
which the court granted on May,18.0,2020.0,0.0,0.0,Other,0.4
which was granted on June,25.0,2020.0,0.0,0.0,Other,0.4
the Company received a second stockholder litigation demand requesting substantially the same action as the stockholder demand it received on December,31.0,2019.0,0.0,0.0,Other,0.4
s stockholders of record as of September,25.0,2018.0,0.0,0.0,Other,0.4
