Line Item,2027,2026,2025,2024,Category,Confidence
dated as of September,14.0,2018.0,0.0,0.0,Other,0.4
The Supplemental Indenture amended the debt covenant under the Convertible Notes due,2024.0,0.0,0.0,0.0,Other,0.4
are convertible at the option of the holders thereof on the same terms as the Convertible Notes due,2024.0,0.0,0.0,0.0,Other,0.4
commencing on September,15.0,2020.0,0.0,0.0,Other,0.4
over the extended term of the Convertible Notes due,2026.0,0.0,0.0,0.0,Other,0.4
and will amortize those costs to interest expense under the effective interest method over the extended term of the Convertible Notes due,2026.0,0.0,0.0,0.0,Cost,0.4
For the years ended December,31.0,2020.0,0.0,0.0,Other,0.4
related to the derivative liability fair value adjustments for embedded conversion feature in the Convertible Notes due,2024.0,0.0,0.0,0.0,Other,0.4
For the years ended December,31.0,2020.0,0.0,0.0,Other,0.4
million recorded in other expense during the year ended December,31.0,2020.0,0.0,0.0,Cost,0.4
diluted share capital being issued upon conversion in full of the Convertible Notes due,2026.0,0.0,0.0,0.0,Per Share,0.7
dilution adjustments as set forth in the indenture governing the Convertible Notes due,2026.0,0.0,0.0,0.0,Other,0.4
at any time and from time to time until September,15.0,2024.0,0.0,0.0,Other,0.4
shares of Class A common stock before giving effect to the conversion price reset on September,14.0,2020.0,0.0,0.0,Per Share,0.4
on December,31.0,2020.0,0.0,0.0,Other,0.4
On April,24.0,2020.0,0.0,0.0,Other,0.4
First Lien Notes due,2025.0,0.0,0.0,0.0,Other,0.4
commencing October,15.0,2020.0,0.0,0.0,Other,0.4
will mature on April,15.0,2025.0,0.0,0.0,Other,0.4
and will amortize those costs to interest expense under the effective interest method over the term of the First Lien Notes due,2025.0,0.0,0.0,0.0,Cost,0.4
Sterling Notes Due,2024.0,0.0,0.0,0.0,Other,0.4
million related to the issuance of the Sterling Notes due,2024.0,0.0,0.0,0.0,Other,0.4
mature on November,15.0,2024.0,0.0,0.0,Other,0.4
commencing on May,15.0,2017.0,0.0,0.0,Other,0.4
Sterling Notes due,2024.0,0.0,0.0,0.0,Other,0.4
million related to the issuance of the additional Sterling Notes due,2024.0,0.0,0.0,0.0,Other,0.4
mature on November,15.0,2024.0,0.0,0.0,Other,0.4
commencing on May,15.0,2017.0,0.0,0.0,Other,0.4
Interest on the additional Sterling Notes will accrue from November,8.0,2016.0,0.0,0.0,Other,0.4
using net proceeds from certain equity offerings completed on or prior to November,15.0,2019.0,0.0,0.0,Net Income,0.4
days of November,8.0,2016.0,0.0,0.0,Other,0.4
and it was declared effective June,7.0,2017.0,0.0,0.0,Other,0.4
All of the original notes were exchanged as of July,12.0,2017.0,0.0,0.0,Other,0.4
of the then outstanding Sterling Notes due,2024.0,0.0,0.0,0.0,Other,0.4
Notes Due,2025.0,0.0,0.0,0.0,Other,0.4
related to the issuance of the Notes due,2025.0,0.0,0.0,0.0,Other,0.4
mature on June,15.0,2025.0,0.0,0.0,Other,0.4
commencing on December,15.0,2015.0,0.0,0.0,Other,0.4
of the then outstanding Notes due,2025.0,0.0,0.0,0.0,Other,0.4
Notes Due,2026.0,0.0,0.0,0.0,Other,0.4
million related to the issuance of the Notes due,2026.0,0.0,0.0,0.0,Other,0.4
mature on November,15.0,2026.0,0.0,0.0,Other,0.4
commencing on May,15.0,2017.0,0.0,0.0,Other,0.4
and it was declared effective June,7.0,2017.0,0.0,0.0,Other,0.4
All of the original notes were exchanged as of July,12.0,2017.0,0.0,0.0,Other,0.4
of the then outstanding Notes due,2026.0,0.0,0.0,0.0,Other,0.4
Notes Due,2027.0,0.0,0.0,0.0,Other,0.4
million related to the issuance of the Notes due,2027.0,0.0,0.0,0.0,Other,0.4
mature on May,15.0,2027.0,0.0,0.0,Other,0.4
commencing on November,15.0,2017.0,0.0,0.0,Other,0.4
at a redemption price as set forth in the indenture governing the Notes due,2027.0,0.0,0.0,0.0,Other,0.4
and it was declared effective June,7.0,2017.0,0.0,0.0,Other,0.4
All of the original notes were exchanged as of July,12.0,2017.0,0.0,0.0,Other,0.4
of the then outstanding Notes due,2027.0,0.0,0.0,0.0,Other,0.4
Mudrick Transaction On December,14.0,2020.0,0.0,0.0,Other,0.4
