Line Item,2027,2026,2025,2024,Category,Confidence
commencing on March,15.0,2019.0,0.0,0.0,Other,0.4
to shareholders of record on September,25.0,2018.0,0.0,0.0,Per Share,0.4
over the term of the Convertible Notes due,2024.0,0.0,0.0,0.0,Other,0.4
and will amortize those costs to interest expense under the effective interest method over the term of the Convertible Notes due,2024.0,0.0,0.0,0.0,Cost,0.4
internal rate of return from the date of issuance regardless of when any particular noteholder acquired its Convertible Notes due,2024.0,0.0,0.0,0.0,Other,0.4
related to the decrease in fair value of its derivative liability for the Convertible Notes due,2024.0,0.0,0.0,0.0,Other,0.4
and the shares of Class A common stock underlying the Convertible Notes due,2024.0,0.0,0.0,0.0,Per Share,0.4
Sterling Notes Due,2024.0,0.0,0.0,0.0,Other,0.4
million related to the issuance of the Sterling Notes due,2024.0,0.0,0.0,0.0,Other,0.4
mature on November,15.0,2024.0,0.0,0.0,Other,0.4
commencing on May,15.0,2017.0,0.0,0.0,Other,0.4
neither Odeon or Carmike or any of its subsidiaries will guarantee the Sterling Notes due,2024.0,0.0,0.0,0.0,Other,0.4
Sterling Notes due,2024.0,0.0,0.0,0.0,Other,0.4
million related to the issuance of the additional Sterling Notes due,2024.0,0.0,0.0,0.0,Other,0.4
mature on November,15.0,2024.0,0.0,0.0,Other,0.4
commencing on May,15.0,2017.0,0.0,0.0,Other,0.4
Interest on the additional Sterling Notes will accrue from November,8.0,2016.0,0.0,0.0,Other,0.4
using net proceeds from certain equity offerings completed on or prior to November,15.0,2019.0,0.0,0.0,Net Income,0.4
days of November,8.0,2016.0,0.0,0.0,Other,0.4
and it was declared effective June,7.0,2017.0,0.0,0.0,Other,0.4
All of the original notes were exchanged as of July,12.0,2017.0,0.0,0.0,Other,0.4
Notes Due,2025.0,0.0,0.0,0.0,Other,0.4
related to the issuance of the Notes due,2025.0,0.0,0.0,0.0,Other,0.4
mature on June,15.0,2025.0,0.0,0.0,Other,0.4
commencing on December,15.0,2015.0,0.0,0.0,Other,0.4
Notes Due,2026.0,0.0,0.0,0.0,Other,0.4
million related to the issuance of the Notes due,2026.0,0.0,0.0,0.0,Other,0.4
mature on November,15.0,2026.0,0.0,0.0,Other,0.4
commencing on May,15.0,2017.0,0.0,0.0,Other,0.4
neither Odeon or Carmike or any of its subsidiaries will guarantee the Notes due,2026.0,0.0,0.0,0.0,Other,0.4
and it was declared effective June,7.0,2017.0,0.0,0.0,Other,0.4
All of the original notes were exchanged as of July,12.0,2017.0,0.0,0.0,Other,0.4
Notes Due,2027.0,0.0,0.0,0.0,Other,0.4
million related to the issuance of the Notes due,2027.0,0.0,0.0,0.0,Other,0.4
mature on May,15.0,2027.0,0.0,0.0,Other,0.4
commencing on November,15.0,2017.0,0.0,0.0,Other,0.4
at a redemption price as set forth in the indenture governing the Notes due,2027.0,0.0,0.0,0.0,Other,0.4
neither Nordic nor any of its subsidiaries guaranteed the Notes due,2027.0,0.0,0.0,0.0,Other,0.4
and it was declared effective June,7.0,2017.0,0.0,0.0,Other,0.4
All of the original notes were exchanged as of July,12.0,2017.0,0.0,0.0,Other,0.4
