Line Item,2021,2020,2019,2018,Category,Confidence
Note,1.0,0.0,0.0,0.0,Other,0.4
On March,31.0,2014.0,0.0,0.0,Other,0.4
On August,2.0,2019.0,0.0,0.0,Other,0.4
see Note,7.0,0.0,0.0,0.0,Other,0.4
see Note,2.0,0.0,0.0,0.0,Other,0.4
The Company anticipates reaching cost recoupment as defined in the DCDAs in the fourth quarter of,2020.0,0.0,0.0,0.0,Cost,0.4
Note,2.0,0.0,0.0,0.0,Other,0.4
effective January,1.0,2019.0,0.0,0.0,Other,0.4
the Company incurred bad debt expense of,674000.0,0.0,0.0,0.0,Cost,0.4
revenues earned from Canadian sources totaled,1808000.0,0.0,0.0,0.0,Revenue,0.7
Revenues earned by the Company under the CNI MSA for theatres located in Latin America was,548000.0,0.0,0.0,0.0,Revenue,0.7
