Line Item,2024,2021,2020,2019,Category,Confidence
The Company estimates the sale of Forum Cinemas will be completed in,2021.0,0.0,0.0,0.0,Other,0.4
s theatre screens and attendees through February,2037.0,0.0,0.0,0.0,Other,0.4
Upon adoption of ASC,606.0,0.0,0.0,0.0,Other,0.4
million for the years ended December,31.0,2020.0,0.0,0.0,Other,0.4
during the years ended December,31.0,2020.0,0.0,0.0,Other,0.4
during the years ended December,31.0,2020.0,0.0,0.0,Other,0.4
and December,31.0,2018.0,0.0,0.0,Other,0.4
quantitative goodwill impairment test of the Domestic and International reporting units as of March,31.0,2020.0,0.0,0.0,Other,0.4
impairment analysis as of September,30.0,2020.0,0.0,0.0,Other,0.4
quantitative impairment test of the Domestic and International reporting units as of September,30.0,2020.0,0.0,0.0,Other,0.4
quantitative impairment test of the Domestic and International reporting units as of December,31.0,2020.0,0.0,0.0,Other,0.4
the Company performed a quantitative goodwill impairment test of the Domestic and International reporting units as of September,30.0,2019.0,0.0,0.0,Other,0.4
there was no goodwill impairment recorded as of September,30.0,2019.0,0.0,0.0,Other,0.4
impairment analysis as of December,31.0,2019.0,0.0,0.0,Other,0.4
the Company performed a qualitative impairment test to evaluate whether it is more likely than not that the fair value of its two reporting units are less than their respective carrying amounts as of December,31.0,2019.0,0.0,0.0,Other,0.4
the comparative information has not been adjusted for the year ended December,31.0,2018.0,0.0,0.0,Other,0.4
