Line Item,2026,2025,2024,2023,Category,Confidence
million at the market closing price on July,31.0,2020.0,0.0,0.0,Other,0.4
under ASC,470.0,60.0,0.0,0.0,Other,0.4
during the year ended December,31.0,2020.0,0.0,0.0,Other,0.4
Second Lien Notes due,2026.0,0.0,0.0,0.0,Other,0.4
In connection with the Second Lien Exchange on December,14.0,2020.0,0.0,0.0,Other,0.4
million of the First Lien Notes due,2026.0,0.0,0.0,0.0,Other,0.4
million at the market closing price on July,31.0,2020.0,0.0,0.0,Other,0.4
beginning on December,15.0,2020.0,0.0,0.0,Other,0.4
and will mature on June,15.0,2026.0,0.0,0.0,Other,0.4
The Second Lien Notes due,2026.0,0.0,0.0,0.0,Other,0.4
First Lien Notes due,2026.0,0.0,0.0,0.0,Other,0.4
million principal amount of First Lien Notes due,2026.0,0.0,0.0,0.0,Other,0.4
million related to the First Lien Notes due,2026.0,0.0,0.0,0.0,Other,0.4
beginning on December,15.0,2020.0,0.0,0.0,Other,0.4
subject to certain limitations specified in the First Lien Notes due,2026.0,0.0,0.0,0.0,Other,0.4
have not been registered under the Securities Act and will mature on April,24.0,2026.0,0.0,0.0,Other,0.4
Senior Secured Notes due,2023.0,0.0,0.0,0.0,Other,0.4
consisting of,1.0,0.0,0.0,0.0,Other,0.4
