Line Item,2018,2017,2016,2014,Category,Confidence
LLC NOTES TO CONSOLIDATED FINANCIAL STATEMENTS Note,1.0,0.0,0.0,0.0,Other,0.4
On March,31.0,2014.0,0.0,0.0,Other,0.4
Note,2.0,0.0,0.0,0.0,Other,0.4
beginning after December,15.0,2017.0,0.0,0.0,Other,0.4
The Company reviewed the terms and conditions of its existing customer contracts and applied the five discrete criteria required for recognizing revenue as set forth in ASU,2014.0,9.0,0.0,0.0,Revenue,0.7
beginning after December,15.0,2017.0,0.0,0.0,Other,0.4
The Company adopted this standard retrospectively on January,1.0,2018.0,0.0,0.0,Other,0.4
The amendments will be effective for the Company beginning after December,15.0,2018.0,0.0,0.0,Other,0.4
and,2016.0,0.0,0.0,0.0,Other,0.4
revenues earned from Canadian sources totaled,1812000.0,0.0,0.0,0.0,Revenue,0.7
Revenue earned by the Company under the CNI MSA for theatres located in Latin America was,722000.0,0.0,0.0,0.0,Revenue,0.7
